name,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,cups,rating
Corn Chex,C,110,2,0,280,0.0,22.0,3,25,25,1.0,41.445019
Corn Flakes,C,100,2,0,290,1.0,21.0,2,35,25,1.0,45.863324
Raisin Bran,C,120,3,1,210,5.0,14.0,12,240,25,0.75,39.259197
Kix,C,110,2,1,260,0.0,21.0,3,40,25,1.5,39.241114
Life,C,100,4,2,150,2.0,12.0,6,95,25,0.67,45.328074
Total Raisin Bran,C,140,3,1,190,4.0,15.0,14,230,100,1.0,28.592785
Total Corn Flakes,C,110,2,1,200,0.0,21.0,3,35,100,1.0,38.839746
All-Bran with Extra Fiber,C,50,4,0,140,14.0,8.0,0,330,25,0.5,93.704912
Shredded Wheat spoon size,C,90,3,0,0,3.0,20.0,0,120,0,0.67,72.801787
Wheat Chex,C,100,3,1,230,3.0,17.0,3,115,25,0.67,49.787445
Honey-comb,C,110,1,0,180,0.0,14.0,11,35,25,1.33,28.742414
Apple Jacks,C,110,2,0,125,1.0,11.0,14,30,25,1.0,33.174094
Cheerios,C,110,6,2,290,2.0,17.0,1,105,25,1.25,50.764999
Frosted Mini-Wheats,C,100,3,0,0,3.0,14.0,7,100,25,0.8,58.345141
Fruit & Fibre Dates; Walnuts; and Oats,C,120,3,2,160,5.0,12.0,10,200,25,0.67,40.917047
Bran Chex,C,90,2,1,200,4.0,15.0,6,125,25,0.67,49.120253
Rice Chex,C,110,1,0,240,0.0,23.0,2,30,25,1.13,41.998933
Nutri-Grain Almond-Raisin,C,140,3,2,220,3.0,21.0,7,130,25,0.67,40.69232
Wheaties Honey Gold,C,110,2,1,200,1.0,16.0,8,60,25,0.75,36.187559
Quaker Oatmeal,H,100,5,2,0,2.7,-1.0,-1,110,0,0.67,50.828392
100% Natural Bran,C,120,3,5,15,2.0,8.0,8,135,0,1.0,33.983679
Lucky Charms,C,110,2,1,180,0.0,12.0,12,55,25,1.0,26.734515
Rice Krispies,C,110,2,0,290,0.0,22.0,3,35,25,1.0,40.560159
100% Bran,C,70,4,1,130,10.0,5.0,6,280,25,0.33,68.402973
Product 19,C,100,3,0,320,1.0,20.0,3,45,100,1.0,41.50354
Cinnamon Toast Crunch,C,120,1,3,210,0.0,13.0,9,45,25,0.75,19.823573
Special K,C,110,6,0,230,1.0,16.0,3,55,25,1.0,53.131324
Puffed Wheat,C,50,2,0,0,1.0,10.0,0,50,0,1.0,63.005645
Smacks,C,110,2,1,70,1.0,9.0,15,40,25,0.75,31.230054
Wheaties,C,100,3,1,200,3.0,17.0,3,110,25,1.0,51.592193
Just Right Crunchy  Nuggets,C,110,2,1,170,1.0,17.0,6,60,100,1.0,36.523683
Bran Flakes,C,90,3,0,210,5.0,13.0,5,190,25,0.67,53.313813
Golden Grahams,C,110,1,1,280,0.0,15.0,9,45,25,0.75,23.804043
Quaker Oat Squares,C,100,4,1,135,2.0,14.0,6,110,25,0.5,49.511874
Crispy Wheat & Raisins,C,100,2,1,140,2.0,11.0,10,120,25,0.75,36.176196
