name,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,cups,rating
Cinnamon Toast Crunch,C,120,1,3,210,0.0,13.0,9,45,25,0.75,19.823573
Corn Pops,C,110,1,0,90,1.0,13.0,12,20,25,1.0,35.782791
Almond Delight,C,110,2,2,200,1.0,14.0,8,-1,25,0.75,34.384843
Total Whole Grain,C,100,3,1,200,3.0,16.0,3,110,100,1.0,46.658844
All-Bran,C,70,4,1,260,9.0,7.0,5,320,25,0.33,59.425505
Shredded Wheat,C,80,2,0,0,3.0,16.0,0,95,0,1.0,68.235885
Golden Grahams,C,110,1,1,280,0.0,15.0,9,45,25,0.75,23.804043
Quaker Oat Squares,C,100,4,1,135,2.0,14.0,6,110,25,0.5,49.511874
Cream of Wheat (Quick),H,100,3,0,80,1.0,21.0,0,-1,0,1.0,64.533816
Raisin Nut Bran,C,100,3,2,140,2.5,10.5,8,140,25,0.5,39.7034
Honey-comb,C,110,1,0,180,0.0,14.0,11,35,25,1.33,28.742414
Just Right Crunchy  Nuggets,C,110,2,1,170,1.0,17.0,6,60,100,1.0,36.523683
Triples,C,110,2,1,250,0.0,21.0,3,60,25,0.75,39.106174
Wheaties Honey Gold,C,110,2,1,200,1.0,16.0,8,60,25,0.75,36.187559
Crispy Wheat & Raisins,C,100,2,1,140,2.0,11.0,10,120,25,0.75,36.176196
Basic 4,C,130,3,2,210,2.0,18.0,8,100,25,0.75,37.038562
100% Bran,C,70,4,1,130,10.0,5.0,6,280,25,0.33,68.402973
100% Natural Bran,C,120,3,5,15,2.0,8.0,8,135,0,1.0,33.983679
Total Corn Flakes,C,110,2,1,200,0.0,21.0,3,35,100,1.0,38.839746
Muesli Raisins; Dates; & Almonds,C,150,4,3,95,3.0,16.0,11,170,25,1.0,37.136863
Nutri-grain Wheat,C,90,3,0,170,3.0,18.0,2,90,25,1.0,59.642837
Puffed Wheat,C,50,2,0,0,1.0,10.0,0,50,0,1.0,63.005645
All-Bran with Extra Fiber,C,50,4,0,140,14.0,8.0,0,330,25,0.5,93.704912
Multi-Grain Cheerios,C,100,2,1,220,2.0,15.0,6,90,25,1.0,40.105965
Corn Flakes,C,100,2,0,290,1.0,21.0,2,35,25,1.0,45.863324
Smacks,C,110,2,1,70,1.0,9.0,15,40,25,0.75,31.230054
Great Grains Pecan,C,120,3,3,75,3.0,13.0,4,100,25,0.33,45.811716
Cheerios,C,110,6,2,290,2.0,17.0,1,105,25,1.25,50.764999
Nut&Honey Crunch,C,120,2,1,190,0.0,15.0,9,40,25,0.67,29.924285
Frosted Mini-Wheats,C,100,3,0,0,3.0,14.0,7,100,25,0.8,58.345141
Crispix,C,110,2,0,220,1.0,21.0,3,30,25,1.0,46.895644
Lucky Charms,C,110,2,1,180,0.0,12.0,12,55,25,1.0,26.734515
Strawberry Fruit Wheats,C,90,2,0,15,3.0,15.0,5,90,25,1.0,59.363993
Double Chex,C,100,2,0,190,1.0,18.0,5,80,25,0.75,44.330856
Clusters,C,110,3,2,140,2.0,13.0,7,105,25,0.5,40.400208
